cso_id,cso_name_english,cso_name_dhivehi,phone,email,web_presence,registration_number
671,Feevaku Development Jamiyya,ފީވަކު ދނަޑުވެރިންގެ ޖަމްޢިއްޔާ,9740220,މެއިލް ,,155
672,Feevaku Youth Link (F.Y.L),ފީވަކު ޔޫތް ލިންކް (އެފް.ވައި.އެލް ),9947333 / 9853114,info.youthlink@gmail.com,,154
673,Feevaku Zuvaanunge Gulhun,ފީވަކު ޒުވާނުންގެ ގުޅުން,7559191 / 7669266,މެއިލް ,,153
674,Fehendhoo Youth Club,ފެހެންދޫ ޔޫތު ކުލަބް,7777407,,,417
675,Fehifahi Club (F.F.C),ފެހިފަހި ކުލަބު (އެފް.އެފް.ސީ,3004300,info@fenaka.com.mv,,1421
676,Fehurihi Youth Association,ފެހުރިހި ޔޫތު އެސޯސިއޭޝަން,7778349,info@tourismcommunity.com,,1915
677,Feleylaa,ފެލޭލާ,,,,2036
678,Felidhoo New Generation,ފެލިދޫ ނިއު ޖެނެރޭޝަން,7866983 / 9690121 / 7871960,club.fng@gmail.com,,1980
679,Felidhoo Zuvaan Ekuveringe Dhirun,ފެލިދޫ ޒުވާން އެކުވެރިންގެ ދިރުން,9833403 ،‎ 7411821,felidhoozed@gmail.com,,1979
680,Felkan Sports Club,ފެލްކަން ސްޕޯޓްސް ކްލަބް,7947037,info@familylegalclinic.org.mv,,1427
681,Felkan Youth and Recreation,ފެލްކަން ޔޫތް އެންޑް ރެކްރިއޭޝަން,7774615,,,1917
682,Fem Health,ފެމް ހެލްތް,9595699,fscommunitymaldives@gmail.com,,1420
683,Fenaka Recreation Club,ފެނަކަ ރެކްރިއޭޝަން ކުލަބް,9911615,,,1419
684,Fenfushee Family Club,ފެންފުށީ ފެމިލީ ކްލަބް,9512177,,,1914
685,Fenfushee Youth Development,ފެންފުށީ ޔޫތް ޑިވަލެޕްމަންޓް,7747955,,,1911
686,Fenfushee Zuvaanunge Dhirun,ފެންފުށީ ޒުވާނުންގެ ދިރުން,7822344,,,1913
687,Fenfusheege Taraqee,ފެންފުށީގެ ތަރައްޤީ,7909133,,,1912
688,Feridhoo Audiveringe Jamiyya,ފެރިދޫ އޮޑިވެރިންގެ ޖަމްޢިއްޔާ,,,,1954
689,Feridhoo Ekuveringe Jihaadhu,ފެރިދޫ އެކުވެރިންގެ ޖިހާދު,7707072/ 9999092,feridhooehkuveringejihaadhu@gmail.com,,1952
690,Feridhoo Ekuveringe Jihaadhu (Fauju),ފެރިދޫ އެކުވެރިންގެ ޖިހާދު ( ފައުޖު ),7777072,,,1949
691,Feridhoo Guesthouse Association,ފެރިދޫ ގެސްޓްހައުސް އެސޯސިއޭޝަން,,,,1953
692,Feridhoo Youth Encourage,ފެރިދޫ ޔޫތު އެންކަރޭޖް,,,,1955
693,Feridhoo Youth Link,ފެރިދޫ ޔޫތު ލިންކް,,,,1957
694,Fertility Support Community,ފާޓިލިޓީ ސަޕޯޓް ކޮމިއުނިޓީ,7911032,,,1418
695,Feydhoo Environment Development Association,ފޭދޫ އެންވައިރަމެންޓް ޑިވެލޮޕްމަންޓް އެސޯސިއޭޝަން,9143010،‎ 7549414,shfeda@live.com,,151
696,Feydhoo Island Development Society,ފޭދޫ އައިލެންޑް ޑިވެލޮޕްމަންޓް ސޮސައިޓީ,7612043,,,152
697,Feydhoo Youth Association,ފޭދޫ ޔޫތު އެސޯސިއޭޝަން,,,,2658
698,Feydhoo Youth Community,ފޭދޫ ޔޫތް ކޮމިޔުނިޓީ,7972723,fyouthcommunity@gmail.com,,2657
699,Feydhoo Youth and Sports Association,ފޭދޫ ޔޫތް އެންޑް ސްޕރޯޓްސް އެސޯސިއޭޝަން,7773669,frc@finance.gov.mv,,1417
700,Filadhoo Development Dhirun,ފިއްލަދޫ އެކުވެރިންގެ ދިރުން,7940395,,,66
701,Filadhoo Youth Development Society (f.y.d.s),ފިއްލަދޫ ޔޫތު ޑިވެލޮޕްމަންޓް ސޮސައިޓީ (އެފް.ވައި.ޑީ.އެސް),"މޙުއްމަދު ދާއޫދު
7900190",,,65
702,Finance Recreation Club,ފިނޭންސް ރެކްރިއޭޝަން ކުލަބް,3349200,fiontti.sc@hotmail.com,,1415
703,Fine Art Maldives,ފައިން އާޓް މޯލްޑިވްސް,7707313,muhammadvisham@gmail.com,,1414
704,Finey Island Development Association,ފިނޭ އައިލެންޑް ޑިވެލޮޕްމަންޓް އެސޯސިއޭޝަން,_,_,,109
705,Finey Unity Jamiyya,ފިނޭ އެކަތަ ޖަމްޢިއްޔާ,_,_,,110
706,Fisheries and Agriculture Association of Maldives (FAAM),ފިޝަރީސް އެންޑް އެގްރިކަލްޗރަ އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް (ފާމް),-,-,,2702
707,Fishermen Association of Dhuvaafaru,ފިޝަމެން އެސޯސިއޭޝަން އޮފް ދުވާފަރު,_,_,,372
708,Fishermen's Association of Naifaru,ފިޝަމަންސް އެސޯސިއޭޝަން އޮފް ނައިފަރު,7628222,,,523
709,Fishing Club Maldives,ފިޝިނގް ކްލަބް މޯލްޑިވްސް,7773101,,,522
710,Fiucharin Endless Liability and Youth Leading Association,ފިއުޗަރިން އެންޑްލެސް ލައިބިލިޓީ އެންޑް ޔޫތް ލީޑިން އެސޯސިއޭޝަން,9966333,mohamed.fayaz@youth.gov.mv ,,2035
711,Fiya Foundation,ފިޔަ ފައުންޑޭޝަން,7772525,,,1412
712,Fiyoari Association for Community Empowerment,ފިޔޯރީ އެސޯސިއޭޝަން ފރޮ ކޮމިއުނިޓީ އެމްޕަވރަމަންޓް,9901412,fiyoareeface@gmail.com,,2473
713,Fiyoari Association for Fishermen's Development,ފިޔޯރީ އެސޯސިއޭޝަން ފރޮ ފިޝަމަންސް ޑިވެލޮޕްމަންޓް,7787593,,,2472
714,"Fiyoari Association for Health, Education and Environment (FAHEE)",ފިޔޯރީ އެސޯސިއޭޝަން ފރޮ ހެލްތް، އެޑިޔުކޭޝަން އެންޑް އެންވައިޔަރަމަންޓް (ފަހީ),7949495,,,2471
715,Fiyoari Ekuveri Zuvaanunge Club (FEZ Club),ފިޔޯރީ އެކުވެރި ޒުވާނުންގެ ކްލަބް (ފެޒް ކްލަބް),7879989,test@gmail.com,,2468
716,Fiyoari Island Development Society (FIDS),ފިޔޯރީ އައިލެންޑް ޑިވެލޮޕްމަންޓް ސޮސައިޓީ (ފިޑްސް),,,,2467
717,Fiyoari United,ފިޔޯރީ ޔުނައިޓެޑް,,,,2469
718,Fiyoari United (F.U.),ފިޔޯރީ ޔުނައިޓެޑް (އެފް.ޔޫ),,,,2470
719,Fiyonti Sports Club,ފިޔޮންތި ސްޕޯޓްސް ކުލަބް,9997866,flairfc@hitmail.com,,1413
720,Flora Sports Club,ފްލެއރަ ސްޕރޯޓްސް ކްލަބް,7820879,media@fammaldives.com,,1411
721,Flying Welfare Organization,ފެލައިން ވެލްފެއރަ އޯގަނައިޒޭޝަން,7739355/7791035,felinewelfareorg@gmail.com,,1839
722,Foakaidhoo Development Jamiyya,ފޯކައިދޫ އެކުވެރިންގެ ޖަމްޢިއްޔާ,,,,186
723,Foakaidhoo Recreation Initiative and Youth Development,ފޯކައިދޫ ރެކްރިއޭޝަން އިނިޝިއޭޓިވް އެންޑް ޔޫތް ޑިވެލޮޕްމަންޓް,7925212,,,185
724,Fodhoo Volunteers Association,ފޮއްދޫ ވޮލަންޓިއރާސް އެސޯސިއޭޝަން,7787815,fvafodhdhoo@avasmail.com.mv,,297
725,Fodhoo Youth Club,ފޮއްދޫ ޔޫތު ކުލަބް,7846637,,,298
726,Fogaamaa Movements,ފޮގާމާ މޫވްމަންޓްސް,9653837,,,2182
727,Fonadhoo Environment and Sustainable Development (FESD),ފޮނަދޫ އެންވައިރަމެންޓް އެންޑް ސަސްޓޭނަބަލް ޑިވަލޮޕްމެންޓް (ފެސްޑް),9644919,fesdfonadhoo@gmail.com,,2181
728,Fonadhoo Innovative Youth Society (FIYES),ފޮނަދޫ އިނޮވޭޓިވް ޔޫތް ސޮސައިޓީ (ފިޔެސް),9840504,fiyas-youth.society@live.com,,2180
729,Fonadhoo Youth Association,ފޮނަދޫ ޔޫތު އެސޯސިއޭޝަން,"9554361, 7460676",fonadhooyouthassociation@gmail.com,,2179
730,Food Security and Health Care,ފުޑް ސެކިއުރިޓީ އެންޑް ހެލްތް ކެއރަ,,test.test@gmail.com,,1410
731,Football Association - Cooperative Team (FAKT),ފުޓްބޯޅަ އެސޯސިއޭޝަން - ކޯޕަރޭޓިވް ޓީމް (ފެކްޓް,7905629,contact@fact-association.com,,181
732,Football Association Of Fuvamulash,ފުޓްބޯޅާ އެސޯސިއޭޝަން އޯފް ފުވައްމުލަށް,7763881,football.fvm@gmail.com,,2564
733,Football Association of Hoadedhoo (F.A.H),ފުޓްބޯލް އެސޯސިއޭޝަން އޮފް ހނޯޑެއްދޫ (އެފް.އޭ.އެޗް),7589272,fahoadedhoo@hotmail.com,,2489
734,Football Club Batteries,ފުޓްބޯޅަ ކުލަބު ބައްތިރީސް,7969575/7779646,footballclub32@gmail.com,,2398
735,Football Club Respect,ފުޓްބޯލް ކްލަބް ރެސްޕެކްޓް,7794991,,,2616
736,Football Club Yang Origin,ފުޓްބޯޅަ ކުލަބް ޔަންގް އޮރިޖިން,"7773359, 7574917",,,58
737,Football Club Zephyra (F.C Zephyra),ފުޓްބޯލް ކްލަބް ޒެފިއރަ (އެފް.ސީ ޒެފިއރަ),,,,2615
738,Former Students Jamiyya (Sh Atoll Educational Center),އިސްދަރިވަރުންގެ ޖަމްޢިއްޔާ (ށ އަތޮޅު ތަޢުލީމީ މަރުކަޒު),9664151,isdharivarunge.jamiyaa@gmail.com,,175
739,Foundation for A Better Future,ފައުންޑޭޝަން ފރޮ އަ ބެޓރަ ފިއުޗރަ,3022014,,,1409
740,Foundation for Active Community Empowerment,ފައުންޑޭޝަން ފރޮ އެކްޓިވް ކޮމިއުނިޓީ އެމްޕަވރަމެންޓް,7601994,facevilu2020@gmaiil.com,,2108
741,Foundation for Autism Research,ފައުންޑޭޝަން ފރޯ އޯޓިޒަމް ރިސރަޗް,7999462,,,1408
742,Foundation for Environment and Humanitarian Integrity (fehi),ފައުންޑޭޝަން ފރޮ އެންވަޔަރަމަންޓް އެންޑް ހިއުމަނިޓޭރިއަން އިންޓްގްރިޓީ (ފެހި),7775715,,,77
743,"Foundation for Environment, Climate and Technology",ފައުންޑޭޝަން ފރޮ އެންވަޔަރަމަންޓް، ކްލައިމެޓް އެންޑް ޓެކްނޮލޮޖީ,7788010,test@gmail.com,,1406
744,Foundation for Hitadhoo Women's Development,ފައުންޑޭޝަން ފރޮ ހިތަދޫ ވިމެންސް ޑިވެލޮޕްމަންޓް,7931856,,,2241
745,Foundation for Meedhoo Development,ފައުންޑޭޝަން ފރޮ މީދޫ ޑިވެލޮޕްމަންޓް,7787033,,,2681
746,Foundation for Muraidhoo Development,ފައުންޑޭޝަން ފރޮ މުރައިދޫ ޑިވެލޮޕްމަންޓް,7773359,,,57
747,Foundation for South Huvadhoo Development (F.S.H.D),ފައުންޑޭޝަން ފރޯ ސައުތު ހުވަދޫ ޑިވެލޮޕްމަންޓް (އެފް.އެސް.އެޗް.ޑީ),,,,2466
748,Foundation for Timarafushee Youth (F.T.Y),ފައުންޑޭޝަން ފރޯ ތިމަރަފުށީ ޔޫތު (އެފް.ޓީ.ވައި)1,9877272,,,1405
749,Foundation for Vilufushi Development,ފައުންޑޭޝަން ފރޮ ވިލުފުށި ޑިވެލޮޕްމަންޓް,7740626,ffvd@avasmail.com.mv,,2107
750,Foundation of Eydhafushee Youth Linkage ( Feyli ),ފައުންޑޭޝަން އޮފް އޭދަފުށީ ޔޫތު ލިންކޭޖް ( ފޭލި ),7777136،‎ 7781120,feylimail@gmail.com,,415
751,Foundation of Science for Youth Development,ފައުންޑޭޝަން އޮފް ސައިނޯސާ ފރޮ ޔޫތް ޑިވެލޮޕްމެންޓް,"7781369, 7913636, 7944443",,,416
752,Fraternity Association for Care Taking,ފްރެޓާނިޓީ އެސޯސިއޭޝަން ފރޮ ކެއރަ ޓޭކިނގް,7771990,test@gmail.com,,1404
753,Freedom,ފްރީޑަމް,,,,2614
754,Freestyle Football Association of Maldives,ފްރީސްޓައިލް ފުޓްބޯލް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް,7784770,test@gmail.com,,1403
755,Friends Association for Island Development (friends Eid),ފުރެންޑްސް އެސޯސިއޭޝަން ފރޮ އައިލެންޑް ޑިވެލޮޕްމެންޓް (ފުރެންޑްސް އެއިޑް),7869982,,,284
756,Friends Club,ފްރެންޑްސް ކްލަބް,9766667,friendsclubfeydhoo@hotmail.com,,2656
757,Friends Club Funaadu,ފްރެންޑްސް ކުލަބު ފުނާޑު,7965955,,,2563
758,Friends Recreation Club,ފްރެންޑްސް ރެކްރިއޭޝަން ކްލަބް,7987717,frc20152306@hotmail.com,,521
759,Friends Sports Club,ފްރެންޑްސް ސްޕޯޓްސް ކްލަބް,7880145,test@gmail.com,,1402
760,Friends and Natives Society (f.n.s),ފްރޭންޑްސް އެންޑް ނޭޓިވްސް ސޮސައިޓީ (އެފް.އެން.އެސް),9995484,fans960@avasmail.com,,76
761,Friends for Environment and Health Initiative,ފްރެންޑްސް ފރޯ އެންވަޔަރަންމަންޓް އެންޑް ހެލްތް އިނިސިއޭޓިވް,9990605,7873705/9990605,,2178
762,Friends of Maamendhoo (FOM),ފްރެންޑްސް އޮފް މާމެންދޫ (ފޮމް),7933782,,,2346
763,Friends of Maavash,ފްރެންޑްސް އޮފް މާވަށް,7777033,,,2204
764,Friends of Palestine,ފުރެންޑްސް އޮފް ޕަލަސްތީން,9859223,admin@nazaki.com,,1818
765,Friendship Association for Sports and Environment,ފްރެންޑްޝިޕް އެސޯސިއޭޝަން ފރޯ ސްޕރޯޓްސް އެންޑް އެންވަޔަރަމަންޓް,7945857,info@faimassociation.org,,1401
766,Friendship Association of India Maldives,ފްރެންޑްޝިޕް އެސޯސިއޭޝަން އޮފް އިންޑިއާ މޯލްޑިވްސް,3329249,info@fuelassosiationofmaldives.com,,1400
767,Friendship Association of Isdhoo Kalaidhoo,ފްރެންޑްޝިޕް އެސޯސިއޭޝަން އޮފް އިސްދޫ ކަލައިދޫ,,,,2277
768,Friendship Association of Maanugoodhoo Environment and Sports,ފްރެންޑްޝިޕް އެސޯސިއޭޝަން އޮފް މާއނުގޫދޫ އެންވަޔަރަމަންޓް އެންޑް ސްޕޯޓްސް,7999970,info@fameslive.org,,194
769,Friendship Association of Maldives Bangladesh,ފްރެންޑްޝިޕް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް ބަންގްލަދޭޝް,9944448,afiyaabdhulazeez@gmail.com,,1723
770,Fuel Association of Maldives (F.A.M),ފިއުލް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް (ފޭމް),3336979,,,1399
771,Fulbright Alumni Association of Maldives,ފުލްބްރައިޓް އެލުމްނާއި އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް,7781171,,,1398
772,Fulhaadhoo Youth Linkage,ފުޅާދޫ ޔޫތު ލިންކޭޖް,"7857029, 7918543, 7931323",,,462
773,Fulhadhoo Association for Sports and Tolerance,ފުޅަދޫ އެސޯސިއޭޝަން ފރޯ ސްޕޯޓްސް އެންޑް ޓޮލަރަންސް,"7792290,
7522275",,,464
774,Fulhadhoo Youth Development Society,ފުޅަދޫ ޔޫތު ޑިވަލޮޕްމަންޓް ސޮސައިޓީ,"7693385, 7931323",baa.fyds@gmail.com,,463
775,Fulidhoo Ekuveringe Ufaa,ފުލިދޫ އެކުވެރިންގެ އުފާ,9199704,ekuveringeufaa.jamiyya@gmail.com,,1978
776,Funaadu Neighborhood Association,ފުނާޑު ނެއިބަހުޑް އެސޯސިއޭޝަން,9991193,,,2562
777,Funaadu Sports Club,ފުނާޑު ސްޕޯޓްސް ކްލަބް,7791738,funaadsportsclub@gmail.com,,2561
778,Funaadu Youth Association (FIYA),ފުނާޑު ޔޫތް އެސޯސިއޭޝަން (ފިޔަ),7786655,contact.fya@gmail.com,,2560
779,Funadhoo School Former Students Rooh,ފުނަދޫ ސްކޫލްގެ އިސްދަރިވަރުންގެ ރޫޙް,9969595,,,167
780,Funadhoo Youth Development Society,ފުނަދޫ ޔޫތު ޑިވެލޮޕްމަންޓް ސޮސައިޓީ,7779754,funadhoomv@gmail.com,,166
781,Funadhoo Zuvaanunge Jamiyya,ފުނަދޫ ޒުވާނުންގެ ޖަމްޢިއްޔާ,7918534,,,165
782,Future Ekuera,ފިއުޗރަ އެކުއެއރަ,9900127,,,596
783,Future Foundation,ފިއުޗރަ ފައުންޑޭޝަން,7777580,_,,350
784,Future Sports Club,ފިއުޗރަ ސްޕޯޓްސް ކުލަބު,7903730,,,1397
785,Fuvamula Association of Developing Infrastructure,ފުވައްމުލައް އެސޯސިއޭޝަން އޮފް ޑިވެލޮޕިނގް އިންފްރާސްޓްރަކްޗރަ,7793474,test@gmail.com,,2553
786,Fuvamula Development Association,ފުވައްމުލައް ޑިވެލޮޕްމަންޓް އެސޯސިއޭޝަން,7772856/7904580/7772192,test@gmail.com,,1396
787,Fuvamula Marine Foundation,ފުވައްމުލައް މެރިން ފައުންޑޭޝަން,7900056,info@fuvahmulah.org,,2558
788,Fuvamula Women's Enhancement,ފުވައްމުލައް ވިމެންސް އެންހޭންސްމަންޓް,7954422,test@gmail.com,,2556
789,Fuvamulak Surfing Association,ފުވައްމުލަކް ސރާފިނގް އެސޯސިއޭޝަން,7900056,fuvahmulaksurfing@gmail.com,,2554
790,Fuvamulaku City Council Recreation,ފުވައްމުލަކު ސިޓީކައުންސިލް ރެކްރިއޭޝަން,7791624,,,2559
791,Fuvamulaku Faisal Foundation,ފުވައްމުލަކު ފައިސަލް ފައުންޑޭޝަން,7783912,,,2552
792,Fuvamulaku Fannuverin,ފުވައްމުލަކު ފަންނުވެރިން,7873054,,,2551
793,Fuvamulaku Motor Sports,ފުވައްމުލަކު މޮޓރޯ ސްޕޯޓްސް,7659902,,,2550
794,Fuvamulaku Sports Club,ފުވައްމުލަކު ސްޕރޯޓްސް ކްލަބް,,,,2557
795,Fuvamulaku Youth Alliance,ފުވައްމުލަކު ޔޫތު އެލަޔަންސް,7741155,,,2555
796,Fuvamulaku Youth Recreation,ފުވައްމުލަކު ޔޫތު ރިލޭޝަން,7781538,,,2548
797,Fuvamulaku Youth Society,ފުވައްމުލަކު ޔޫތު ސޮސައިޓީ,,,,2547
798,Fuvamulaku Youth Vision,ފުވައްމުލަކު ޔޫތް ވިޝަން,7900834,test@gmail.com,,2546
799,Fuvamulaku Youth and Sports Development Association,ފުވައްމުލަކު ޔޫތު އެންޑް ސްޕޯޓްސް ޑިވެލޮޕްމަންޓް އެސޯސިއޭޝަން,7779268,fysdaa@gmail.com,,2549
800,Fuvamulaku Zuvaanunge Rooh,ފުވައްމުލަކު ޒުވާނުންގެ ރޫޙް,7989332,,,2545
801,G-Care,ޖީ-ކެއރަ,9999990,umair.badeeu@gmail.com,,1384
802,G.Atolhu Hospital Recreation Club,ގއ.އަތޮޅު ހޮސްޕިޓަލް ރެކްރިއޭޝަން ކުލަބް,7512299,,,2317
803,G.Atolhu Madharusaage Dhasveninge Rooh,ގއ.އަތޮޅު މަދަރުސާގެ ދަސްވެނިންގެ ރޫޙް,7916502,,,2328
804,G.N Volunteers,ޖީ.އެން ވޮލަންޓިއރަސް,7689394,info@gnvolunteers.org,,2543
805,GA. Atolhu Hospital Recreation Club,ގއ.އަތޮޅު ހޮސްޕިޓަލް ރެކްރިއޭޝަން ކުލަބް,7512299,,,2300
806,Gaadhifushi Youth Generation,ގާދިއްފުށި ޔޫތު ޖެނެރޭޝަން,7551511,,,2153
807,Gaadhifushi Youth Movement,ގާދިއްފުށި ޔޫތް މޫވްމެންޓް,9771066,,,2152
808,Gaadhifushi Youth Wing,ގާދިއްފުށީ ޔޫތު ވިންގް,9980899,,,2151
809,Gaadhifushi Zuvaanunge Club,ގާދިއްފުށީ ޒުވާނުންގެ ކުލަބް,7672020,,,2150
810,Gaadhifushi Zuvaanunge Dhirun,ގާދިއްފުށީ ޒުވާނުންގެ ދިރުން,7752888,,,2149
811,Gaadhoo Action Aid,ގާދޫ އެކްޝަން އެއިޑް,7766117,,,2283
812,Gaafaru Community Club,ގާފަރު ކޮމިއުނިޓީ ކުލަބް,,,,556
813,Gaafaru Development Association,ގާފަރު ޑިވެލޮޕްމަންޓް އެސޯސިއޭޝަން,7794749,gdagaafaru@gmail.com,,554
814,Gaafaru Future Foundation,ގާފަރު ފިއުޗރަ ފައުންޑޭޝަން,9672596,gff.team10@gmail.com,,553
815,Gaafaru United Youth Society (gaais),ގާފަރު ޔުނައިޓެޑް ޔޫތް ސޮސައިޓީ (ގާއިސް),7755650,,,552
816,Gaafaru Youth Club,ގާފަރު ޔޫތް ކްލަބް,7906722,gaafaruyouthclub@gmail.com,,551
817,Gaakoshi Association,ގާކޮށި އެސޯސިއޭޝަން,7797226,gaakoshimv@gmail.com,,1793
818,Gaamagu Reunited,ގާމަގު ރީޔުނައިޓެޑް,7727264,,,1395
819,Gadhoo Aleekaleygefaanu Foundation,ގައްދޫ އަލީކަލޭގެފާނު ފައުންޑޭޝަން,7797383,,,2503
820,Gadhoo Association for Recreation and Access Development (GAFRAAD),ގައްދޫ އެސޯސިއޭޝަން ފރޮ ރެކްރިއޭޝަން އެންޑް އެކްސެސް ޑިވެލޮޕްމަންޓް (ގަފްރާޑް),,,,2505
821,Gadhoo Association for Recreation and Access Development (GAFRAADHU),ގައްދޫ އެސޯސިއޭޝަން ފރޮ ރެކްރިއޭޝަން އެންޑް އެކްސަސް ޑިވެލޮޕްމަންޓް (ގަފްރާދު),7922441,,,2502
822,Gadhoo Association of New Generation (GANG),ގައްދޫ އެސޯސިއޭޝަން އޮފް ނިއު ޖެނެރޭޝަން (ގޭންގް),7905301,,,2501
823,Gadhoo Community Empowerment Association,ގައްދޫ ކޮމިއުނިޓީ އެމްޕްވރަމެންޓް އެސޯސިއޭޝަން,7871978,,,2504
824,Gadhoo Rasheedhu Foundation,ގައްދޫ ރަޝީދު ފައުންޑޭޝަން,7917002,,,1393
825,Gadhoo Trust Society,ގައްދޫ ޓްރަސްޓް ސޮސައިޓީ,9474444,gtsmaldives@gmail.com,,2500
826,Gadhoo Youth Society,ގައްދޫ ޔޫތު ސޮސައިޓީ,7773602,,,2499
827,Gain Advancement Network,ގޭން އެޑްވާންސްމަންޓް ނެޓްވރާކް,7794648,,,2226
828,Galolhu Dhekunu Ekuverin,ގަލޮޅު ދެކުނު އެކުވެރިން,7776119,,,1392
829,Galolhu Green Image,ގަލޮޅު ގްރީން އިމޭޖް,7778464,,,1391
830,Galolhu Madharusaa Organization for Amicable Links (GOAL),ގަލޮޅު މަދަރުސާ އޯގަނައިޒޭޝަން ފރޮ އެމިކަބަލް ލިންކްސް (ގޯލް),7967172,,,1390
831,Galolhu Sports Club,ގަލޮޅު ސްޕޯޓްސް ކްލަބް,3316030,,,1389
832,Galolhu Vindhu,ގަލޮޅު ވިންދު,7777117,,,1388
833,Gamers Association of Maldives,ގޭމރަސް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް,7689480,test@gmail.com,,1387
834,Games Association of Maavash,ގޭމްސް އެސޯސިއޭޝަން އޮފް މާވަށް,9892323,,,2206
835,Gamu Development Society,ގަމު ޑިވެލޮޕްމަންޓް ސޮސައިޓީ,9996142,,,1386
836,Gamu Ekuveri Masverin (GEM),ގަމު އެކުވެރި މަސްވެރިން (ޖެމް),9998400,,,2228
837,Gamu Zuvaanunge Jamiyya,ގަމު ޒުވާނުންގެ ޖަމްއިއްޔާ,9999810,,,2227
838,Gan Regional Hospital Club,ގަން ރީޖަނަލް ހޮސްޕިޓަލް ކުލަބް,7794648,,,2225
839,Gathering Olhuvelifushee All Linking Society,ގެދަރިނގް އޮޅުވެލިފުށީ އޯލް ލިންކިނގް ސޮސައިޓީ,9113020,,,520
840,Gdh. Atolhu Madharusaage Muskulhidharivarunge Jamiyya,ގދ.އަތޮޅު މަދަރުސާގެ މުސްކުޅިދަރިވަރުންގެ ޖަމްޢިއްޔާ,7706011,,,2498
841,Gemana,ގެމަނަ,9692409,,,1383
842,Gemanafushi Masveringe Rooh (G.M.R),ގެމަނަފުށީ މަސްވެރިންގެ ރޫޙް (ޖީ.އެމް.އާރު),7713727,,,2397
843,Gemanafushi Masveringe Roohu,ގެމަނަފުށީ މަސްވެރިންގެ ރޫޙު,7713727,,,2396
844,Gemanafushi Organization for Laborious Development (GOLD),ގެމަނަފުށީ އޯގަނައިޒޭޝަން ފރޮ ލެބޯރިއަސް ޑިވެލޮޕްމެންޓް (ގޯލްޑް),7725212,goldgemanafushi@gmail.com,,2395
845,Gemanafushi Raturooh,ގެމަނަފުށި ރަޓުރޫޙް,,,,2394
846,Gemanafushi Sports Club,ގެމަނަފުށީ ސްޕޯޓްސް ކުލަބް,"7788024, 7667726, 7501155",,,2393
847,Gemanafushi Unified Island Development Society (GUIDS),ގެމަނަފުށީ ޔުނިފައިޑް އައިލެންޑް ޑިވެލޮޕްމަންޓް ސޮސައިޓީ (ގައިޑްސް),7931643 / 7788024,,,2392
848,Gemanafushi Youth Association (G.Y.A),ގެމަނަފުށި ޔޫތް އެސޯސިއޭޝަން (ޖީ.ވައި.އޭ),-,-,,2391
849,Gemendhoo Enhancement Society,ގެމެންދޫ އެންހޭންސްމެންޓް ސޮސައިޓީ,,,,2088
850,Gender Recreation Club,ޖެންޑރަ ރެކްރިއޭޝަން ކުލަބް,7772647,,,1382
851,Gender Voice,ޖެންޑރަ ވައިސް,,,,1381
852,Giraavaru Male Citizen Association,ގިރާވަރު މާލެ ސިޓިޒެން އެސޯސިއޭޝަން,9755538,fems.ngo@gmail.com,,1848
853,Giraavaru Mureedhuge Taara Jamiyya,ގިރާވަރު މުރީދުގެ ތާރަ ޖަމްޢިއްޔާ,7663545,,,1380
854,Giraavaru Society,ގިރާވަރު ސޮސައިޓީ,7904245,in4gys@gmail.com,,1379
855,Giraavaru Youth Society,ގިރާވަރު ޔޫތު ސޮސައިޓީ,7570909,,,1378
856,Global Citizen Society,ގްލޯބަލް ސިޓިޒެން ސޮސައިޓީ,7920277,globalcitizensociety@yahoo.com,,2136
857,Glorious Sports Club,ގްލޯރިއަސް ސްޕޯޓްސް ކްލަބް,7712938,,,1939
858,Gn Atoll Education Centre Foundation,ޏ އެޓޯލް އެޑިއުކޭޝަން ސެންޓރަ ފައުންޑޭޝަން,7658928,,,2542
859,Gn. Atoll Educational Centre Foundation,ޏ. އެޓޯލް އެޑިޔުކޭޝަނަލް ސެންޓރަ ފައުންޑޭޝަން,,,,2544
860,Goadhiyaa,ގޯދިއްޔާ,7947646,goadhiyya@gmail.com,,2645
861,Goidhoo Sports and Recreation,ގޮއިދޫ ސްޕޯޓްސް އެންޑް ރެކްރިއޭޝަން,"7991141, 7998411",,,461
862,Goidhoo Youth Society,ގޮއިދޫ ޔޫތް ސޮސައިޓީ,9100090,goidhooyouthsociety@gmail.com,,460
863,Golden Star Sports Club,ގޯލްޑަން ސްޓރާ ސްޕޯޓްސް ކްލަބް,"7940488, 7947145",,,443
864,Golhi Sports,ގޮޅި ސްޕޯޓްސް,7794909,,,2064
865,Good Agricultural Practice in Maldives,ގުޑް އެގްރިކަލްޗަރަލް ޕްރެކްޓިސް އިން މޯލްޑިވްސް,,fathimathsaaira@gmail.com,,2685
866,Green Ails,ގްރީން އައިލްސް,9538881/ 7994198,infogreenisles@gmail.com,,100
867,Green Belt Protective Society,ގްރީން ބެލްޓް ޕްރޮޓެކްޓިވް ސޮސައިޓީ,_,_,,371
