facility_id,facility_name,facility_type,island_id,matched_island_name,atoll_id,matched_atoll_name,address,rooms,beds,berths,phone,email,website,fax,resort_phone,resort_email,resort_fax,operator,owner_lessee,management,match_score,match_status,facility_type_original,atoll_name,island_name
256,Cora Cora Maldives,resort,,,17.0,Raa,,106,212,0,3344911,info@coracoraresorts.com,,,,info@coracoraresorts.com,,"HMM Pvt Ltd 
H. Millennia Tower 
10, Ameer Ahmed Magu 
Male', Republic of Maldives","Legal Heirs of Late Ahmed Waheed
G. Vaffushi  
Male', Republic of Maldives",,,unmatched,Resort,Raa,Maamigili
257,Coral Beach Maldives,guesthouse,13.0,Hangnaameedhoo,2.0,Alifu Dhaalu,Nalahiyaa,6,12,0,9844999,whalesmaldives@gmail.com,,,,,,"Whales Group Pvt Ltd 
H. Veymuivilaa
Viajehey Magu
Male', Republic of Maldives","Mafroog Abdul Samad 
Billoorijehige
Adh. Hangnaameedhoo
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Hangnaameedhoo
258,Coral Castle,guesthouse,163.0,Goidhoo,19.0,Shaviyani,Fehivilaage,6,12,0,7777484,coralcastle.goidhoo@gmail.com,,,,,,"Mohamed Hashim
G. Hiya 2 15-01
Male', Republic of Maldives","Fathimath Ali
Fehivilaage
Goidhoo, Baa Atoll
Republic of Maldives",,100.0,matched,Guest House,Baa,Goidhoo
259,Coral Crown,guesthouse,157.0,Meedhoo,18.0,Seenu,"Coral, Mulimathi Magu",10,20,0,7776968,coralcrownmaldives@gmail.com,http://www.coralcrownmaldives.com/,-,,,,"Coral Crown Pvt Ltd 
Hulhumale’ Phase 1 Plot no.11302, Ground floor
Rabarugas Magu 6 Goalhi
Male’, Republic of Maldives","Abdulla Rafiu 
Nelivaru,
Meedhoo, Seenu Atoll 
Republic of Maldives",,100.0,matched,Guest House,Seenu,Meedhoo
260,Coral Inn,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,"Luyoona Manzil, Gaamathi Magu",14,28,0,7657056,"coralinn.mv@gmail.com
hello@coralinn.mv",,,,,,"Tree Coral Pvt Ltd 
H. Fus G/F 
Hadheebee Magu
Male', Republic of Maldives","1. Ibrahim Nashid 
2. Mohamed Nasheed 
3. Aminath Nashida Abdul Sattar
4. Ahmed Nazim Abdul Sattar
G. Kenereege, Male', Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
261,Coral Queen Villa Ukulhas,guesthouse,8.0,Ukulhas,1.0,Alifu Alifu,"Sunflower, Vashaamagu",5,10,0,7773805,coralqueenvilla@gmail.com,,,,,,"Sea Show (SP)
Mohamed Shareef 
Fathagumaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldive","Mohamed Shareef 
Fathagumaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Ukulhas
262,Coral Reef Huraa,guesthouse,94.0,Huraa,11.0,Kaafu,Ufanveli,3,6,0,9113368,mohamed.firushan@yahoo.com,www.facebook.com/coralreefhuraa/,,,,,"Coral Reef Huraa
Mohamed Firushaan 
Ufanveli
Huraa, Kaafu Atoll
Republic of Maldives","Hamid Shameem
Ufanveli
Huraa, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Huraa
263,Coral Shine,guesthouse,45.0,Gemanafushi,6.0,Gaafu Alifu,"Shine, Ameenee Magu",6,12,0,9997735,m.mubyyn@gmail.com,-,-,,,,"Coral Shine (SP) | Zihana Zubair 
Neeloafaru, 
Gemanafushi, Gaafu Alifu Atoll, 
Republic of Maldives","Mohamed Mubeen 
Vinares,
Gemanafushi, Gaafu Alifu Atoll,
Republic of Maldives",,100.0,matched,Guest House,Gaafu Alifu,Gemanafushi
264,Cordelia,vessel,,,,,,7,18,0,7787723,md@tridentmaldives.com,,,,,,"Trident Pvt Ltd (C-0268/2002)
Ma. Binmaa Villa
Dhibahaaru Mahu
Male', Republic of Maldives","Ahmed Inaz (A046913)
M. Sunny Coast
Shaheed Ali Hingun
Republic of Maldives",,,no_island_provided,Vessel,,
265,Courtyard,guesthouse,94.0,Huraa,11.0,Kaafu,Fasthari,12,24,0,7778277,adrey119@hotmail.com,,,,,,"Ikad Maldives Pvt Ltd 
Ma. Fayyoom 
Male', Republic of Maldives","1. Saaniya Mahir 
Faeary Pelace 
Huraa, Kaafu Atoll 
Republic of Maldives 
2. Ahmed Zahir 
M. Naaz 
Male', Republic of Maldives",,100.0,matched,Guest House,Kaafu,Huraa
266,Cove Fehendhoo,homestay,22.0,Fehendhoo,3.0,Baa,"Janbumaage, Ameenee Magu",3,6,0,7778720,feedm@hotmail.com,-,-,,,,"Cove Fehendhoo (SP)
Aminath Najma
Janbumaage
Ameenee Magu
Fehendhoo, Baa Atoll
Republic of Maldives","Aminath Najma 
Janbumaage
Ameenee Magu
Fehendhoo, Baa Atoll
Republic of Maldives",,100.0,matched,Home Stay,Baa,Fehendhoo
267,Cowry Inn,guesthouse,186.0,Fulidhoo,21.0,Vaavu,Two Flower,7,14,0,9716444,cowryinn@gmail.com,,,,,,"Cowry Inn (SP)
Ahmed Majid 
Manzil
Fulidhoo, Vaavu Atoll
Republic of Maldives","Ahmed Majid 
Manzil
Fulidhoo, Vaavu Atoll
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Fulidhoo
268,Crown Beach Maldives,guesthouse,89.0,Dhiffushi,11.0,Kaafu,White Sand,12,24,0,9123456,hello@crownbeachhotel.com,,,,,,"Crown Beach Hotel Pvt Ltd 
M. Fourlights 
Majeedhee Magu 
Male’', Republic of Maldives","Hawwa Fasana
Sikkage
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
269,Crown Beach Villas,guesthouse,89.0,Dhiffushi,11.0,Kaafu,Victory House,6,12,0,9123456,hello@crownbeachhotel.com,www.crownbeachhotel.com,,,,,"Crown Beach Hotel Pvt Ltd
M. Fourlights
Majeedhee Magu
Male', Republic of Maldives","Aminath Jeeza
Miraazu
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
270,Crystal Sands,guesthouse,96.0,Maafushi,11.0,Kaafu,"Happy Park, Mirihimagu",18,36,0,,,,,,,,"Symphony Maldives Pvt Ltd 
Ma. Male Faru
Male', Republic of Maldives","Nazim Ibrahim
Happy Park 
Maafushi, Kaafu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Maafushi
271,Crystal Sea Inn,homestay,,,19.0,Shaviyani,"Kaunu, Dhonveli Hingun",3,6,0,7901487,crystal.seainn@gmail.com,-,-,,,,"Share Investment (SP) 
Ali Samir 
Oivaru,
Bilehfahi, Shaviyani Atoll 
Republic of Maldives","Ali Samir 
Oivaru,
Bilehfahi, Shaviyani Atoll 
Republic of Maldives",,,unmatched,Home Stay,Shaviyani,Bilehfahi
272,Dacha Thoddoo,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,Hope Ameenee Magu,3,6,0,7782862,dachamaldives@gmail.com,,,,,,"Dacha Maldives 
Ibrahim Zaheen Ali 
Husnuheenaage
Feevah, Shaviyani Atoll
Republic of Maldives","1. Aishath Soora 
White Rose
Thoddoo, Alifu Alifu Atoll
Republic of Maldives
2.  Abdulla Mohamed 
Annaarumaage
Thoddoo, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
273,Daisy Cottage Dhangethi,guesthouse,,,2.0,Alifu Dhaalu,Daisy Cottage,10,5,0,7731777,daisycottagedhangethi@gmail.com,www.daisycottagedhangethi.com,,,,,"Hussain Rasheed Ibrahim 
Shabaab 
Dhangethi, Alifu Dhaalu Atoll 
Republic of Maldives","Hussain Rasheed Ibrahim 
Shabaab 
Dhangethi, Alifu Dhaalu Atoll 
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhangethi
274,Detour Beach View,guesthouse,13.0,Hangnaameedhoo,2.0,Alifu Dhaalu,"1. Hawai &  2. Himeyn ,Nikagas Magu",10,20,0,9993530,info@detourmaldives.com,http://www.detourmaldives.com/,,,,,"Detour Maldives Pvt Ltd  
H. Manaau
Kaani Goalhi
Male', Republic of Maldives","Owner of Hawai
1. Suwaidha Adam
Dhunfinige
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives
Owner of Himeyn
1. Farooq Abdul Samad 
Himeyn
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Hangnaameedhoo
275,Dhaainkan'baa,vessel,,,,,,7,14,0,3310307,sales@static-tours.com,,3326405,,,,"Static Tours Pvt Ltd Private Limited 
M. Aashiya Manzil
Bentheyo Goalhi
Male', Republic of Maldives","Static Tours Pvt Ltd Private Limited 
M. Aashiya Manzil
Bentheyo Goalhi
Male', Rep. of Maldives",,,no_island_provided,Vessel,,
276,Dhaalu Inn Kudahuvadhoo,guesthouse,34.0,Kudahuvadhoo,4.0,Dhaalu,"Beach Heaven, Ameenee Magu",5,10,0,7650653,dhaaluinn@gmail.com,,,,,,"Nala Athiri (SP)
Ismail Rasheed 
Beach Heaven
Kudahuvadhoo, Dhaalu Atoll
Republic of Maldives","Ismail Rasheed 
Beach Heaven
Kudahuvadhoo, Dhaalu Atoll
Republic of Maldives",,100.0,matched,Guest House,Dhaalu,Kudahuvadhoo
277,Dhaankolhu Rasdhoo,guesthouse,6.0,Rasdhoo,1.0,Alifu Alifu,"Cole, Vaavu Magu",10,20,0,9181110,info@dhaankolhu.com,www.dhaankolhu.com,-,,,,"The Berry Shop (SP) | Kinaan Naseer 
H. Coil, 
Male', Republic of Maldives","Adam Naseer 
Cole,
Rasdhoo, Alifu Alifu Atoll,
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Rasdhoo
278,Dhamana Beach,guesthouse,16.0,Mahibadhoo,2.0,Alifu Dhaalu,"Beach House, Futtaru Hingun",6,12,0,7329228,dhamanabeach@gmail.com,www.dhamanabeach.com,,,,,"Ibrahim Faiz 
Dhamana 2 
Athireege
Hithadhoo, Seenu Atoll
Republic of Maldives","Aminath Adam 
Fithuroanuge
Mahibadhoo, Alifu Dhaalu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Mahibadhoo
279,Dhangethi Inn,guesthouse,,,2.0,Alifu Dhaalu,Tokyo Villa,4,8,0,9991436,tholal07@gmail.com,www.dhangethiinn.com,,,,,"Ahmed Thalal 
Tokyo Villa 
Ameenee Magu 
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","1. Aminath Ahmed 
Dhaftharu No. Rs 6766
Male', Republic of Maldives
2. Hassan Adam 
Tokyo Villa
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhangethi
280,Dhangethi Retreat,guesthouse,,,2.0,Alifu Dhaalu,Mars,4,8,0,7622711,nadeyz@live.com,,,,,,"D.W.S Water Sports 
Moosa Nadeem 
Endherimaage 
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Hassan Ibrahim 
Fehige 
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhangethi
281,Dharavandhoo Fishing Club,guesthouse,19.0,Dharavandhoo,3.0,Baa,"Barakath Villa, Ameenee Magu",4,8,0,7991712,drvfishingclub@gmail.com,-,-,,,,"Dharavandhoo Fishing Club Pvt Ltd
Dhirimaage,
Kudey Magu, 
Dharavandhoo, Baa Atoll,
Republic of Maldives","Aminath Wahudha Moosa 
Ma. Velabulige, 
Male', Republic of Maldives",,100.0,matched,Guest House,Baa,Dharavandhoo
282,Dhawa Ihuru,resort,,,11.0,Kaafu,,45,90,0,6658205,mohamed.naeem@banyantree.com,,"(65)4620186
6645933",960 664 3502,reservations-ihuru@angsana.com,960 664 3502,"Maldives Angsana Pvt Ltd 
M. Gulfaamuge, 04th Floor
Fareedhee Magu
Male', Republic of Maldives","Ihuru Investments Pvt Ltd 
Ma. Rimkhaa, Ground Floor
Dhilbahaaru Goalhi,
Male', Republic of Maldives","Banyan Tree Resorts Ltd
China Insurance Group Building, 2401, 24th floor, 141 Des Voeux Road Central, Hong Kong",,unmatched,Resort,Kaafu,Ihuru
283,Dhebanveli,guesthouse,50.0,Nilandhoo,6.0,Gaafu Alifu,Dhebanveli,4,8,0,7774649,info@rhmaldives.com,www.vhmaldives.com,,,,,"Ranaa Hameed
M. Feeali
Male, Maldives","Legal Heirs of Late Zakariyya Hameed 
M. Feeali",,100.0,matched,Guest House,Faafu,Nilandhoo
284,Dheruhfinolhu by Jawakara Islands Maldives,resort,,,13.0,Lhaviyani,https://jawakara.com/,93,186,0,7785035,reservations@jawakara.com,,-,6629999,,6628888,"Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives",-,,unmatched,Resort,Lhaviyani,Dheruhfinolhu
285,Dhidhdhooinn Beachview,guesthouse,,,9.0,Haa Alifu,Jareemaage,6,12,0,9441491,dhidhdhooinn@gmail.com,www.dhidhdhooinn.com,,,,,"DhidhdhooInn Beachview 
Adam Naseer 
Jareemaage
Dhidhdhoo, Haa Alifu Atoll
Republic of Maldives","Adam Naseer 
Jareemaage
Dhidhdhoo, Haa Alifu Atoll
Republic of Maldives",,,unmatched,Guest House,Haa Alifu,Dhidhdhoo
286,Dhiffushi Inn,guesthouse,89.0,Dhiffushi,11.0,Kaafu,Iris,10,20,0,9133958,dhiffushi.inn@gmail.com,www.dhiffushi-inn.com,-,,,,"Dhiffushi Inn (SP) | Ahmed Anees  
Filikurige, Rahdhebaivaa Magu
Dhiffushi, Kaafu Atoll
Republic of Maldives","Ibrahim Anis 
Filikurige, Rahdhebaivaa Magu
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
287,Dhiffushi Inn Sea View,guesthouse,89.0,Dhiffushi,11.0,Kaafu,"Garnet, Keyolhubege Hingun",25,50,0,9985488,dhiffushi.inn@gmail.com,www.dhiffushi-inn.com,-,,,,"Dhiffushi Inn (SP) | 
Ahmed Anees 
Filikurige, 
Dhiffushi, Kaafu Atoll, 
Republic of Maldives","Maryam Agisa 
Filikurige, 
Dhiffushi, Kaafu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
288,Dhiffushi Island Villa,guesthouse,89.0,Dhiffushi,11.0,Kaafu,Bahuruva Dhonveli Goalhi,4,8,0,"7362179
9835557",dhiffushiislandvilla@gmail.com,www.maldivesislandtravel.com,,,,,"Maldives Island Travel Pvt. Ltd.
Atholhu Komety Goathi 00-01
Rahdhebai Magu
Thulusdhoo, Kaafu Atoll
Republic of Maldives","Ali Baseer 
Bulooniyaage
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
289,Dhiffushi Tourist,guesthouse,89.0,Dhiffushi,11.0,Kaafu,"Breeze View, Heenaa Magu",5,10,0,7774749,dhiffushihotel@gmail.com,www.dhiffushihotel.com,-,,,,"Atoll Hospitality Pvt Ltd 
Breeze View, 
Heenaa Magu, 
Dhiffushi, Kaafu Atoll, 
Republic of Maldives","Aishath Neeza 
Gahaa
Dhiffushi, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
290,Dhiffushi White Sand Beach,guesthouse,89.0,Dhiffushi,11.0,Kaafu,Dhonveli Dhekunubai,7,14,0,3326130,dhiffushiwhitesand@gmail.com,,,,,,"Hassan Abdul Hameed
Dhaftharu No. RS: 6867
Male', Republic of Maldives","Hassan Abdul Hameed
Dhaftharu No. RS:6867
Male', Republic of Maldives",,100.0,matched,Guest House,Kaafu,Dhiffushi
291,Dhigali Maldives,resort,,,17.0,Raa,,179,362,0,3323080,info@coraledge.com.mv,,3333618,6586060,info@dhigali.com,6586060,"Coral Edge Pvt Ltd 
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives","Coral Edge Pvt Ltd
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives",,,unmatched,Resort,Raa,Dhigali
292,Dhiggiri Tourist Resort,resort,,,21.0,Vaavu,,61,122,0,3323214,reservations@dhiggiriresort.com,,,6700593,reservations@dhiggiriresort.com,6700593,"""Dhiggiri Investment Pte Ltd. 
Opera Building, Chaandhanee Magu
Male', Republic of Maldives""","""Dhiggiri Investment Pte Ltd.
Opera Building, Chaandhanee Magu
Male', Republic of Maldives
mmtours@dhivehinet.net.mv""",,,unmatched,Resort,Vaavu,Dhiggiri
293,Dhigufaru Island Resort,resort,,,3.0,Baa,,85,170,0,3302656,info@dhigufaru.com,,3330804,660-2656,reservations@dhigufaru.com,,"Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male',City, Republic of Maldives","Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male',City, Republic of Maldives",,,unmatched,Resort,Baa,Dhigufaruvinagandu
294,Dhigurah Cottage ZamaaneeUfa,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,"Zamaanee Ufaa, Mercury Road",12,24,0,9398801,dhigurahcottage@gmail.com,,,,,,"Dhigurah Cottage Pvt Ltd 
Zamaanee Ufaa
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives","1. Ibrahim Rasheed 
Boduge, ADh. Dhigurah, Republic of Maldives
2. Aminath Easa
Zamaanee Ufaa, ADh. Dhigurah, Republic of Maldives
3. Aisath Nahfa 
Zamaanee Ufaa, ADh. Dhigurah, Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Dhigurah
295,Dhigurah Dhonveli Boutique,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,"Zenith, Rankoka Goalhi",5,10,0,7800644,dhigurahdhonveli@gmail.com,,,,,,"Sapphire Maldives Private Limited 
Burevimaage (Isvaaru)
Ameenee Magu
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives","Nazeef Mohamed 
Roashaneege
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives",,100.0,matched,Guest House,Gaafu Alifu,Dhigurah
296,Dhiguveli,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,Raalhufah / Kethi,19,38,0,7406000 / 7653732,welcome@dhiguveli.com,www.dhiguveli.com,7414000,,,,"Macrosix Pvt Ltd 
M. Jagumagaana
Handhuvaree Hingun 
Male', Republic of Maldives","1.Naushad Mohamed 
Zamaaneekula 
Dhigurah, Alifu Dhaalu Atoll 
Republic of Maldives 
2. Moghamed Jaufar
Bahaareege 
Dhigurah , Alifu Dhaalu Atoll 
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Dhigurah
297,Dhiguveli Breeze,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,White Coral,18,36,0,7994346,info@macrosix.com,,,,,,"Macrosix Pvt Ltd
M. Jagumagaana
Handhuvaree Hingun 
Male', Republic of Maldives","Aishath Hussain
Roashaneege 
Dhigurah, Alifu Dhaalu Atoll 
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Dhigurah
298,Dhimyaath Stay,guesthouse,,,11.0,Kaafu,M. Dhimyaath,55,110,0,"3328920
3322392
3324381",info@dhimyaath.mv,www.dhimyaath.mv,,,,,"Dhimyaath Pvt Ltd
M. Dhimyaath
Buruzu Magu
Male', Republic of Maldives","1. Sajidha Mohamed 
Ma. Baabul Avaalee
Male', Republic of Maldives
2. Abdulla Fayaz
G. Hiyala
Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
299,Dhinasha,vessel,,,,,Dhinasha 1,10,20,0,7778955,dhinasha@canopusmaldives.com,,,,,,"Canopus Maldives Pvt. Ltd 
G. Maavahi, Buruzu Magu 
Male',Republic of Maldives.","Canopus Maldives Pvt. Ltd 
G. Maavahi, Buruzu Magu 
Male',Republic of Maldives.",,,no_island_provided,Vessel,,
300,Dhoadhi Beach Maldives,guesthouse,180.0,Omadhoo,20.0,Thaa,"Dhoadhi, Chanbeylee Magu",8,16,0,9835888,dhoadhibeachinn@gmail.com,http://www.dhoadhibeach.com/,-,,,,"Dhoadhi Beach Inn (SP) | Ibrahim Muneer 
Finivaage, 
Zamaanee Hingun, 
Omadhoo, Alifu Dhaalu Atoll,
Republic of Maldives","1. Khadeejaa Mohamed
Alivaage, 
Omadhoo, Alifu Dhaalu Atoll, 
Republic of Maldives
2. Ali Fahumy 
Finivaage, 
Omadhoo, Alifu Dhaalu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Thaa,Omadhoo
301,Dhoadhi Retreat,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,"Ayota, Randhaa Magu",7,14,0,7715322,dhoadhi.retreat@gmail.com,,,,,,"Lagoon Explorer Pvt Ltd 
G. Hadhdhunmathee Dhekunuge
Neeloafaru Hingun
Male', Republic of Maldives","Ibrahim Jamal 
Ayota
Randhaa Magu
Thulusdhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
302,Dhoani Maldives Guesthouse,guesthouse,27.0,Kendhoo,3.0,Baa,"Fehiali, Maarana Magu",6,12,0,9839977,contact@dhoanimaldives.com,,,,,,"Fehiali Enterprises Pvt Ltd 
Fehiali
Kendhoo, Baa Atoll
Republic of Maldives","1. Amira Sulaiman 
2. Ahmed Alif 
3. Hussain Afsal 
4. Mohamed Eelaf 
5. Niyasha Ali 
6. Aminath Liyoosa 
Fehiali, B. Kendhoo, Republic of Maldives",,100.0,matched,Guest House,Baa,Kendhoo
303,Dhonfalhu Dhigurah,guesthouse,10.0,Dhigurah,2.0,Alifu Dhaalu,"Sady Beach, Rabee'ee Magu",7,14,0,9400062,dhonfalhudhigurah@gmail.com,,,,,,"Dhonfalhu Dhigurah 
Ibrahim Mahmood
Vaarey Villa 
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives","Khalid Eysa 
Sady Beach
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Dhaalu,Dhigurah
304,Dhonfulhafi Beach View and Spa,guesthouse,30.0,Maalhos,3.0,Baa,"Roshan Beach , Gahaa",10,20,0,7993311,haneef72788@gmail.com,,,,,,"Abdulla Haneef 
Heenaamaage
Maalhos, Baa Atoll
Republic of Maldives","Roshan Beach: 
Yoosuf Hassan 
Roashaneege 
Maalhos, Baa Atoll
Republic of Maldives 

Gahaa: 
Sofiyya Aboobakuru 
Gahaa
Maalhos, Baa Atoll
Republic of Maldives",,100.0,matched,Guest House,Baa,Maalhos
305,Dhonkamana Stay,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,Sosunge,6,12,0,7888382,dhonkamanastay@gmail.com,,,,,,"Dhonkama Stay
Sosunge 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","Rasheeda Hassan 
Sosunge 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
306,Dhontakuru Guest House,guesthouse,,,2.0,Alifu Dhaalu,"Villa, Ameenee Magu",6,12,0,7688132,haaaa198383@gmail.com: dhonthakuruge@gmail.com,www.dhonthakuru.com,,,,,"RHSS investment (SP )
Rugiyya Adam
Espares, Maamigili, Alifu Dhaalu Atoll, Republic of Maldives","Khadheeja Yoosuf 
Huvadhumaage
Dhidhdhoo, Alifu Dhaalu Atoll
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhidhdhoo
307,Dhonveli Inn,guesthouse,,,,,"Annaarumaage, Dh. Bandidhoo",7,14,0,7970180,info@dhonveliinn.com,www.dhonveliinn.com,,,,,"Neo Royal Investment 
Mohamed Nafiu 
Musthareege
Bandidhoo, Dhaalu Atoll
Republic of Maldives","Aminath Mohamed 
Musthareege
Bandidhoo, Dhaalu Atoll
Republic of Maldives",,,no_island_provided,Guest House,,
308,Dhonveli Stay,homestay,,,11.0,Kaafu,"Hulhumale' Lot No. 10065, Dhiggaa Magu",1,2,0,9980815,info@luckycool.org,-,,,,,"Lucky Cool Private Limited
M. Air Dawn, Buruzu Magu, 
Male', Republic of Maldives","1. Hassan Waheed 
2. Mohamed Migdham 
3. Ahmed Misbah 
4. Aishath Mihuna 
5. Mimraah Hassan Waheed 
M. Air Dawn, Male', Republic of Maldives",,,unmatched,Home Stay,Kaafu,Male'
309,Dhooni Finolhu Guesthouse,guesthouse,30.0,Maalhos,3.0,Baa,"Vasmeeru Fiya, Huravee Magu",5,10,0,7693247,dhoonifinolhu@gmail.com,,,,,,"Naila Yousuf
Udhares
Maalhos, Baa Atoll
Republic of Maldives","Abdul Matheen Solih
Galbu 
Maalhos, Baa Atoll
Republic of Maldives",,100.0,matched,Guest House,Baa,Maalhos
310,Diamonds Athuruga Beach & Water Villas,resort,,,2.0,Alifu Dhaalu,,73,146,0,3323617,info@voyages.com,,3325336,6680508,es.athuruga@diamonds-resorts.comiinfo@voyagesmaldives.com,6680508,"Voyages Maldives Pvt. Ltd.
M. Narugis, 
Chaandhanee Magu,
Male', Republic of Maldives","Voyages Maldives Pvt. Ltd.
M. Narugis, 
Chaandhanee Magu,
Male', Republic of Maldives
info@voyages.com",,,unmatched,Resort,Alifu Dhaalu,Athurugau
311,Diamonds Thudufushi Beach and Water Villas,resort,,,2.0,Alifu Dhaalu,,72,144,0,"332 5349
332 3617",info@seagull.com.mv,,332 5336,6680583,info.thudufushi@diamonds-resorts.com,6680583,"Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives","Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives",-,,unmatched,Resort,Alifu Dhaalu,Thundufushi
312,Dive and Sleep Retreat,guesthouse,,,2.0,Alifu Dhaalu,"Dhemathi, Gamaruhnisaa Hingun",4,8,0,7757088,Info@diveandsleep.com,,-,,,,"M&J investment (SP)  Midhhath Ibrahim  Vaijeheyge, Karankaa Magu, Maamigili, Alifu Dhaalu Atoll,
Republic of Maldives","Mohamed Adam 
Dhemathi, 
Dhidhdhoo, Alifu Dhaalu Atoll, 
Republic of Maldives",,,unmatched,Guest House,Alifu Dhaalu,Dhidhdhoo
313,Dream Catcher 2,vessel,,,,,,7,17,0,7792014,alisabree1@hotmail.com,,,,,,"Ali Sabree
Kulhithulaage
S.Hulhudhoo
H-Beijing
Nirolhu Magu
Male' City, Republic of Maldives","Ali Sabree
Kulhithulaage
S.Hulhudhoo
H-Beijing
Nirolhu Magu
Male' City, Republic of Maldives",,,no_island_provided,Vessel,,
314,Dream Inn @ Thulusdhoo,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,Sueyz,5,10,0,7927971 / 7775044,hello@dreaminn.mv,www.dreaminn.mv,3307531,,,,"Mohamed Shaheem 
G. Ginger Villa
Male', Republic of Maldives","Ibrahim Shiham 
Sueyz
Thulusdhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
315,Dream Sunset Beach and Spa,guesthouse,,,11.0,Kaafu,"Hulhumale' Lot no. 10976  No. 17, Nirolhu Magu",20,40,0,3356668,"dreamsunsetmv@outlook.com
rifau8968@hotmail.com",,,,,,"Dream Sunset Pvt Ltd
Venus
Gadhdhoo, Gaafu Dhaalu Atoll
Republic of Maldives","Yameen Adam 
G. Feeroaz Lodge
Ameenee Goalhi
Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
